Year,Coverage,Method,median_est,lower,upper
1,5%,Bayesian Random,0.174,0.0917325,0.25667499999999993
1,5%,Bayesian Fixed,0.178,0.046555,0.275
1,5%,Frequentist Retro,0.182,0.0742,0.2910999999999999
1,10%,Bayesian Random,0.167,0.12495,0.22062499999999996
1,10%,Bayesian Fixed,0.169,0.11795,0.2372499999999999
1,10%,Frequentist Retro,0.169,0.117425,0.24334999999999987
1,20%,Bayesian Random,0.176,0.14047500000000002,0.213525
1,20%,Bayesian Fixed,0.178,0.13795000000000002,0.22262499999999996
1,20%,Frequentist Retro,0.179,0.13742500000000002,0.22457499999999997
1,40%,Bayesian Random,0.176,0.15242499999999998,0.20409999999999995
1,40%,Bayesian Fixed,0.178,0.15095,0.20762499999999995
1,40%,Frequentist Retro,0.178,0.15095,0.20809999999999995
1,80%,Bayesian Random,0.1755,0.15289999999999998,0.199525
1,80%,Bayesian Fixed,0.176,0.15189999999999998,0.201525
1,80%,Frequentist Retro,0.1765,0.15189999999999998,0.201525
2,5%,Bayesian Random,0.1375,0.07134,0.19587499999999988
2,5%,Bayesian Fixed,0.118,0.049795,0.208
2,5%,Frequentist Retro,0.121,0.053375,0.207
2,10%,Bayesian Random,0.1275,0.0862475,0.175
2,10%,Bayesian Fixed,0.111,0.0612925,0.17504999999999998
2,10%,Frequentist Retro,0.1115,0.06295,0.175
2,20%,Bayesian Random,0.1285,0.09258749999999999,0.15904999999999997
2,20%,Bayesian Fixed,0.124,0.081845,0.158525
2,20%,Frequentist Retro,0.1235,0.08295000000000001,0.158525
2,40%,Bayesian Random,0.126,0.0961425,0.15919999999999992
2,40%,Bayesian Fixed,0.122,0.08991750000000001,0.15867499999999995
2,40%,Frequentist Retro,0.122,0.08995,0.15919999999999992
2,80%,Bayesian Random,0.122,0.09446249999999999,0.144
2,80%,Bayesian Fixed,0.1195,0.0907325,0.14352499999999999
2,80%,Frequentist Retro,0.12,0.0909,0.14352499999999999
3,5%,Bayesian Random,0.171,0.113425,0.2532999999999999
3,5%,Bayesian Fixed,0.1745,0.0966225,0.29654999999999976
3,5%,Frequentist Retro,0.1755,0.0999,0.3020999999999999
3,10%,Bayesian Random,0.172,0.12132499999999999,0.22962499999999997
3,10%,Bayesian Fixed,0.1765,0.107,0.254625
3,10%,Frequentist Retro,0.177,0.107475,0.253625
3,20%,Bayesian Random,0.1775,0.14389999999999997,0.21662499999999996
3,20%,Bayesian Fixed,0.181,0.14142500000000002,0.225525
3,20%,Frequentist Retro,0.181,0.1419,0.22504999999999997
3,40%,Bayesian Random,0.177,0.14695,0.21405
3,40%,Bayesian Fixed,0.178,0.14595,0.218525
3,40%,Frequentist Retro,0.179,0.14595,0.219
3,80%,Bayesian Random,0.18,0.14889999999999998,0.20714999999999995
3,80%,Bayesian Fixed,0.181,0.14889999999999998,0.20967499999999994
3,80%,Frequentist Retro,0.181,0.14889999999999998,0.20914999999999995
4,5%,Bayesian Random,0.184,0.124275,0.288
4,5%,Bayesian Fixed,0.196,0.10442499999999999,0.330525
4,5%,Frequentist Retro,0.197,0.1129,0.34409999999999996
4,10%,Bayesian Random,0.197,0.14632499999999998,0.26305
4,10%,Bayesian Fixed,0.216,0.14289999999999997,0.292525
4,10%,Frequentist Retro,0.216,0.1419,0.288525
4,20%,Bayesian Random,0.21,0.176475,0.264
4,20%,Bayesian Fixed,0.219,0.17995,0.275525
4,20%,Frequentist Retro,0.2185,0.179475,0.275
4,40%,Bayesian Random,0.21,0.178425,0.24704999999999996
4,40%,Bayesian Fixed,0.216,0.182375,0.254525
4,40%,Frequentist Retro,0.216,0.182425,0.25405
4,80%,Bayesian Random,0.213,0.1809,0.246
4,80%,Bayesian Fixed,0.217,0.1829,0.250525
4,80%,Frequentist Retro,0.217,0.1829,0.25
5,5%,Bayesian Random,0.135,0.07598250000000001,0.18562499999999996
5,5%,Bayesian Fixed,0.116,0.0454275,0.20957499999999996
5,5%,Frequentist Retro,0.1185,0.04795,0.20709999999999995
5,10%,Bayesian Random,0.136,0.0816375,0.17757499999999998
5,10%,Bayesian Fixed,0.123,0.058975,0.1867749999999999
5,10%,Frequentist Retro,0.124,0.06095,0.18672499999999992
5,20%,Bayesian Random,0.1265,0.09269749999999999,0.160525
5,20%,Bayesian Fixed,0.1205,0.08387,0.159
5,20%,Frequentist Retro,0.121,0.084475,0.159
5,40%,Bayesian Random,0.1225,0.0945175,0.15
5,40%,Bayesian Fixed,0.1185,0.087245,0.14905
5,40%,Frequentist Retro,0.1185,0.087475,0.14905
5,80%,Bayesian Random,0.1235,0.0988975,0.148
5,80%,Bayesian Fixed,0.1205,0.09533,0.147
5,80%,Frequentist Retro,0.121,0.09542500000000001,0.147
6,5%,Bayesian Random,0.1725,0.110425,0.25959999999999983
6,5%,Bayesian Fixed,0.177,0.06463,0.27605
6,5%,Frequentist Retro,0.179,0.09012500000000001,0.29757499999999965
6,10%,Bayesian Random,0.179,0.135,0.23904999999999998
6,10%,Bayesian Fixed,0.189,0.123375,0.25805
6,10%,Frequentist Retro,0.189,0.12437499999999999,0.25605
6,20%,Bayesian Random,0.1835,0.145475,0.22857499999999997
6,20%,Bayesian Fixed,0.187,0.144475,0.2357249999999999
6,20%,Frequentist Retro,0.188,0.144475,0.2362499999999999
6,40%,Bayesian Random,0.1815,0.15195,0.21967499999999995
6,40%,Bayesian Fixed,0.184,0.15095,0.22519999999999996
6,40%,Frequentist Retro,0.1845,0.15095,0.22467499999999996
6,80%,Bayesian Random,0.1875,0.162,0.216
6,80%,Bayesian Fixed,0.189,0.162,0.219
6,80%,Frequentist Retro,0.189,0.162,0.218525
7,5%,Bayesian Random,0.145,0.08952750000000001,0.241
7,5%,Bayesian Fixed,0.139,0.06128,0.27305
7,5%,Frequentist Retro,0.138,0.063475,0.265525
7,10%,Bayesian Random,0.151,0.09606250000000001,0.22162499999999996
7,10%,Bayesian Fixed,0.145,0.0706075,0.23719999999999994
7,10%,Frequentist Retro,0.146,0.07275000000000001,0.2356749999999999
7,20%,Bayesian Random,0.15,0.121475,0.18605
7,20%,Bayesian Fixed,0.149,0.113425,0.18809999999999996
7,20%,Frequentist Retro,0.1485,0.114425,0.18757499999999996
7,40%,Bayesian Random,0.149,0.117,0.17504999999999998
