Year,Collars,Method,median_est,lower,upper
1,5,Bayesian Random,0.868,0.767425,0.935525
1,5,Bayesian Fixed,0.9455,0.54735,0.999525
1,5,Frequentist Retro,0.8,0.4,1
1,10,Bayesian Random,0.855,0.7460249999999999,0.9100999999999999
1,10,Bayesian Fixed,0.869,0.58114999999999994,0.9925249999999999
1,10,Frequentist Retro,0.8,0.5,1
1,20,Bayesian Random,0.848,0.7413749999999999,0.886575
1,20,Bayesian Fixed,0.819,0.6151249999999999,0.958
1,20,Frequentist Retro,0.8,0.57375,0.95
1,30,Bayesian Random,0.844,0.781475,0.88105
1,30,Bayesian Fixed,0.789,0.65385,0.9270749999999998
1,30,Frequentist Retro,0.767,0.64915,0.9173249999999997
1,50,Bayesian Random,0.8405,0.7917500000000001,0.8751
1,50,Bayesian Fixed,0.7895000000000001,0.699125,0.8916249999999999
1,50,Frequentist Retro,0.78,0.6895,0.88
2,5,Bayesian Random,0.8795,0.807475,0.9417249999999999
2,5,Bayesian Fixed,1,0.645325,1
2,5,Frequentist Retro,1,0.6,1
2,10,Bayesian Random,0.866,0.7877000000000001,0.9186749999999999
2,10,Bayesian Fixed,0.9325000000000001,0.636325,1
2,10,Frequentist Retro,0.9,0.6,1
2,20,Bayesian Random,0.8625,0.81385,0.90515
2,20,Bayesian Fixed,0.916,0.752625,1
2,20,Frequentist Retro,0.9,0.72375,1
2,30,Bayesian Random,0.8585,0.826,0.891525
2,30,Bayesian Fixed,0.8835,0.776475,0.977525
2,30,Frequentist Retro,0.867,0.767,0.967
2,50,Bayesian Random,0.857,0.82795,0.89105
2,50,Bayesian Fixed,0.888,0.821475,0.948525
2,50,Frequentist Retro,0.88,0.82,0.94
3,5,Bayesian Random,0.871,0.7909,0.9387249999999999
3,5,Bayesian Fixed,0.88,0.492025,1
3,5,Frequentist Retro,0.8,0.4,1
3,10,Bayesian Random,0.851,0.6742,0.9067749999999999
3,10,Bayesian Fixed,0.839,0.4766,1
3,10,Frequentist Retro,0.8,0.5,1
3,20,Bayesian Random,0.85,0.773225,0.88
3,20,Bayesian Fixed,0.82,0.6668000000000001,0.92305
3,20,Frequentist Retro,0.8,0.65,0.9
3,30,Bayesian Random,0.848,0.7978500000000001,0.885
3,30,Bayesian Fixed,0.818,0.676775,0.94505
3,30,Frequentist Retro,0.8,0.6826749999999999,0.933
3,50,Bayesian Random,0.847,0.8002750000000001,0.874675
3,50,Bayesian Fixed,0.823,0.6997,0.88705
3,50,Frequentist Retro,0.82,0.6895,0.88
4,5,Bayesian Random,0.8694999999999999,0.756075,0.9392499999999999
