Year,Coverage,Method,median_est,lower,upper
1,"5% Observed, 5 Collars",Bayesian Random,1.06,0.8755,1.17525
1,"5% Observed, 5 Collars",Bayesian Fixed,1.14,0.60425,1.33
1,"5% Observed, 5 Collars",Frequentist Retro,0.972644736336411,0.44474638689965734,1.3524077548467792
1,"10% Observed, 10 Collars",Bayesian Random,1.02,0.8814,1.11
1,"10% Observed, 10 Collars",Bayesian Fixed,1.05,0.6859500000000001,1.22
1,"10% Observed, 10 Collars",Frequentist Retro,0.9691526518153268,0.5965019459741192,1.2462267315109843
1,"20% Observed, 20 Collars",Bayesian Random,1.03,0.9237,1.0852499999999998
1,"20% Observed, 20 Collars",Bayesian Fixed,0.991,0.756175,1.18525
1,"20% Observed, 20 Collars",Frequentist Retro,0.9609613075999632,0.6928815547847378,1.190718863922998
1,"40% Observed, 30 Collars",Bayesian Random,1.02,0.946075,1.08
1,"40% Observed, 30 Collars",Bayesian Fixed,0.965,0.79045,1.1352499999999999
1,"40% Observed, 30 Collars",Frequentist Retro,0.9497127007016013,0.77949784001728,1.124978318999783
1,"80% Observed, 50 Collars",Bayesian Random,1.02,0.963425,1.07
1,"80% Observed, 50 Collars",Bayesian Fixed,0.9595,0.8537,1.08
1,"80% Observed, 50 Collars",Frequentist Retro,0.9435137092921104,0.8438651868445168,1.0723582971853969
2,"5% Observed, 5 Collars",Bayesian Random,1.01,0.9058999999999999,1.13
2,"5% Observed, 5 Collars",Bayesian Fixed,1.06,0.752375,1.25
2,"5% Observed, 5 Collars",Frequentist Retro,1.0689547211119415,0.6549868602177449,1.259527151887189
2,"10% Observed, 10 Collars",Bayesian Random,0.9895,0.899,1.09
2,"10% Observed, 10 Collars",Bayesian Fixed,1.05,0.73125,1.18
2,"10% Observed, 10 Collars",Frequentist Retro,1.0101010101010102,0.676268265153595,1.1904761904761905
2,"20% Observed, 20 Collars",Bayesian Random,0.989,0.92275,1.05
2,"20% Observed, 20 Collars",Bayesian Fixed,1.04,0.8532,1.1457499999999996
2,"20% Observed, 20 Collars",Frequentist Retro,1.0198329746637151,0.813958926932616,1.1475030349742141
2,"40% Observed, 30 Collars",Bayesian Random,0.979,0.942475,1.03
2,"40% Observed, 30 Collars",Bayesian Fixed,1.02,0.878125,1.11525
2,"40% Observed, 30 Collars",Frequentist Retro,1.0055878475551294,0.8714963662002386,1.103420280272311
2,"80% Observed, 50 Collars",Bayesian Random,0.979,0.9344750000000001,1.02
2,"80% Observed, 50 Collars",Bayesian Fixed,1,0.930475,1.09
2,"80% Observed, 50 Collars",Frequentist Retro,0.9920312922622392,0.922878094630063,1.0786961330331397
3,"5% Observed, 5 Collars",Bayesian Random,1.05,0.939325,1.17
3,"5% Observed, 5 Collars",Bayesian Fixed,1.1,0.637525,1.34
3,"5% Observed, 5 Collars",Frequentist Retro,1.008841676738121,0.5323216844733892,1.3694809412654405
3,"10% Observed, 10 Collars",Bayesian Random,1.03,0.8228,1.13
3,"10% Observed, 10 Collars",Bayesian Fixed,1.02,0.587775,1.2552499999999998
3,"10% Observed, 10 Collars",Frequentist Retro,0.9822009984805731,0.5754592271036142,1.228313889168259
3,"20% Observed, 20 Collars",Bayesian Random,1.03,0.939325,1.12
3,"20% Observed, 20 Collars",Bayesian Fixed,0.992,0.794675,1.18525
3,"20% Observed, 20 Collars",Frequentist Retro,0.9650307319798845,0.7771349862258954,1.1643706965420169
3,"40% Observed, 30 Collars",Bayesian Random,1.03,0.95875,1.09525
3,"40% Observed, 30 Collars",Bayesian Fixed,0.999,0.820925,1.17
3,"40% Observed, 30 Collars",Frequentist Retro,0.9840098400984011,0.8351804678530425,1.159157342123172
3,"80% Observed, 50 Collars",Bayesian Random,1.03,0.968475,1.08
3,"80% Observed, 50 Collars",Bayesian Fixed,0.9995,0.867425,1.1
3,"80% Observed, 50 Collars",Frequentist Retro,0.9878190453665815,0.8536372143420017,1.0877495214656823
4,"5% Observed, 5 Collars",Bayesian Random,1.07,0.92725,1.25
4,"5% Observed, 5 Collars",Bayesian Fixed,1.12,0.579575,1.48525
4,"5% Observed, 5 Collars",Frequentist Retro,1.0444065871663828,0.48571706638039847,1.5100162684615137
4,"10% Observed, 10 Collars",Bayesian Random,1.07,0.959125,1.1804999999999999
4,"10% Observed, 10 Collars",Bayesian Fixed,1.1349999999999998,0.846225,1.31
4,"10% Observed, 10 Collars",Frequentist Retro,1.0915806847368468,0.7615823017526657,1.3089005235602094
4,"20% Observed, 20 Collars",Bayesian Random,1.08,1.01,1.16525
4,"20% Observed, 20 Collars",Bayesian Fixed,1.085,0.872025,1.27
4,"20% Observed, 20 Collars",Frequentist Retro,1.0625016601588442,0.8311502592707061,1.2433962520001085
4,"40% Observed, 30 Collars",Bayesian Random,1.08,1.02,1.1552499999999999
4,"40% Observed, 30 Collars",Bayesian Fixed,1.08,0.90885,1.24
4,"40% Observed, 30 Collars",Frequentist Retro,1.0652173913043477,0.8910496311096734,1.224491899497626
4,"80% Observed, 50 Collars",Bayesian Random,1.08,1.01475,1.14
4,"80% Observed, 50 Collars",Bayesian Fixed,1.06,0.93685,1.19525
4,"80% Observed, 50 Collars",Frequentist Retro,1.0486859057355955,0.9237733100726613,1.1835859815739274
5,"5% Observed, 5 Collars",Bayesian Random,1.01,0.8929,1.11
5,"5% Observed, 5 Collars",Bayesian Fixed,1.045,0.7477,1.2405
5,"5% Observed, 5 Collars",Frequentist Retro,0.965019498282987,0.6417399849278576,1.2459674917798869
5,"10% Observed, 10 Collars",Bayesian Random,0.9904999999999999,0.8819,1.07
5,"10% Observed, 10 Collars",Bayesian Fixed,1.02,0.7067749999999999,1.19525
5,"10% Observed, 10 Collars",Frequentist Retro,0.9804340396445659,0.6725402341467093,1.2019970443050867
5,"20% Observed, 20 Collars",Bayesian Random,0.983,0.9068499999999999,1.03
5,"20% Observed, 20 Collars",Bayesian Fixed,0.9675,0.7649250000000001,1.15
5,"20% Observed, 20 Collars",Frequentist Retro,0.9449720553010883,0.7358528240707627,1.1484730087422357
5,"40% Observed, 30 Collars",Bayesian Random,0.9744999999999999,0.91225,1.03
5,"40% Observed, 30 Collars",Bayesian Fixed,0.974,0.782575,1.1
5,"40% Observed, 30 Collars",Frequentist Retro,0.9638691138301816,0.7846302731711609,1.0888297683622947
5,"80% Observed, 50 Collars",Bayesian Random,0.968,0.926425,1.02
5,"80% Observed, 50 Collars",Bayesian Fixed,0.9664999999999999,0.8609,1.07
5,"80% Observed, 50 Collars",Frequentist Retro,0.9578119636783473,0.8493691833056463,1.0586686363695266
6,"5% Observed, 5 Collars",Bayesian Random,1.06,0.942475,1.18525
6,"5% Observed, 5 Collars",Bayesian Fixed,1.1349999999999998,0.78145,1.3457499999999998
6,"5% Observed, 5 Collars",Frequentist Retro,1.1236309692895243,0.6959786821705427,1.3512613900825117
6,"10% Observed, 10 Collars",Bayesian Random,1.05,0.96,1.1609999999999996
6,"10% Observed, 10 Collars",Bayesian Fixed,1.105,0.854725,1.3352499999999998
6,"10% Observed, 10 Collars",Frequentist Retro,1.0657197341484619,0.8367477455590013,1.3379322564133769
6,"20% Observed, 20 Collars",Bayesian Random,1.05,0.985325,1.14
6,"20% Observed, 20 Collars",Bayesian Fixed,1.0750000000000002,0.87495,1.2552499999999998
6,"20% Observed, 20 Collars",Frequentist Retro,1.0559006211180124,0.8519780516139739,1.2505178544713855
6,"40% Observed, 30 Collars",Bayesian Random,1.05,0.98085,1.11525
6,"40% Observed, 30 Collars",Bayesian Fixed,1.08,0.893775,1.21525
6,"40% Observed, 30 Collars",Frequentist Retro,1.0683922725091568,0.8851508006509039,1.2101762516420957
6,"80% Observed, 50 Collars",Bayesian Random,1.05,0.999475,1.1052499999999998
6,"80% Observed, 50 Collars",Bayesian Fixed,1.07,0.95385,1.18525
6,"80% Observed, 50 Collars",Frequentist Retro,1.0610738152867212,0.9407358860132093,1.1759639363130634
7,"5% Observed, 5 Collars",Bayesian Random,1.04,0.9155500000000001,1.18
7,"5% Observed, 5 Collars",Bayesian Fixed,1.1,0.849425,1.36525
7,"5% Observed, 5 Collars",Frequentist Retro,1.0995082133686658,0.737744356351752,1.3615173589871916
7,"10% Observed, 10 Collars",Bayesian Random,1.03,0.9319000000000001,1.1352499999999999
7,"10% Observed, 10 Collars",Bayesian Fixed,1.11,0.854475,1.2952499999999998
7,"10% Observed, 10 Collars",Frequentist Retro,1.0869565217391304,0.8140510133625767,1.3012790555916776
7,"20% Observed, 20 Collars",Bayesian Random,1.02,0.95985,1.08
7,"20% Observed, 20 Collars",Bayesian Fixed,1.11,0.9468999999999999,1.18525
7,"20% Observed, 20 Collars",Frequentist Retro,1.0889328063241108,0.9242438805587596,1.18357863424185
7,"40% Observed, 30 Collars",Bayesian Random,1.01,0.9704249999999999,1.07
7,"40% Observed, 30 Collars",Bayesian Fixed,1.085,0.949425,1.18
7,"40% Observed, 30 Collars",Frequentist Retro,1.0693991035787394,0.9349970076816503,1.1751873086938645
7,"80% Observed, 50 Collars",Bayesian Random,1.02,0.9764249999999999,1.06
7,"80% Observed, 50 Collars",Bayesian Fixed,1.09,0.9874750000000001,1.16
7,"80% Observed, 50 Collars",Frequentist Retro,1.0788414988993567,0.9773934024186017,1.1568924904626572
8,"5% Observed, 5 Collars",Bayesian Random,1.01,0.913475,1.11525
8,"5% Observed, 5 Collars",Bayesian Fixed,1.05,0.73385,1.21525
8,"5% Observed, 5 Collars",Frequentist Retro,0.9626969416126043,0.658170302807086,1.2257320375401557
8,"10% Observed, 10 Collars",Bayesian Random,1,0.911325,1.1157499999999998
8,"10% Observed, 10 Collars",Bayesian Fixed,1.07,0.778975,1.2309999999999997
8,"10% Observed, 10 Collars",Frequentist Retro,1.0291598561621447,0.7370695132799594,1.238695780728403
8,"20% Observed, 20 Collars",Bayesian Random,0.988,0.9184000000000001,1.03525
8,"20% Observed, 20 Collars",Bayesian Fixed,1.02,0.834475,1.1352499999999999
8,"20% Observed, 20 Collars",Frequentist Retro,1.0084036778330714,0.8078984815898838,1.1304600047268114
8,"40% Observed, 30 Collars",Bayesian Random,0.988,0.934,1.03525
8,"40% Observed, 30 Collars",Bayesian Fixed,1.025,0.832425,1.11525
8,"40% Observed, 30 Collars",Frequentist Retro,1.0126119603040276,0.8340512057950731,1.1114865710607251
8,"80% Observed, 50 Collars",Bayesian Random,0.9844999999999999,0.9329500000000001,1.03525
8,"80% Observed, 50 Collars",Bayesian Fixed,1.01,0.870275,1.11525
8,"80% Observed, 50 Collars",Frequentist Retro,1.0045212058634878,0.8535415775764879,1.1089822914444207
9,"5% Observed, 5 Collars",Bayesian Random,1.05,0.937,1.2104999999999997
9,"5% Observed, 5 Collars",Bayesian Fixed,1.08,0.710625,1.41525
9,"5% Observed, 5 Collars",Frequentist Retro,0.9956444427922654,0.6093736226518389,1.4030853123082005
9,"10% Observed, 10 Collars",Bayesian Random,1.03,0.927325,1.12
9,"10% Observed, 10 Collars",Bayesian Fixed,1.08,0.770925,1.2257499999999997
9,"10% Observed, 10 Collars",Frequentist Retro,1.0440835266821347,0.7308925430255777,1.231442205726405
9,"20% Observed, 20 Collars",Bayesian Random,1.03,0.9491749999999999,1.09
9,"20% Observed, 20 Collars",Bayesian Fixed,1.06,0.8437999999999999,1.18
9,"20% Observed, 20 Collars",Frequentist Retro,1.0328068043742407,0.8223125945053958,1.18357863424185
9,"40% Observed, 30 Collars",Bayesian Random,1.03,0.967475,1.07
9,"40% Observed, 30 Collars",Bayesian Fixed,1.05,0.874575,1.17
9,"40% Observed, 30 Collars",Frequentist Retro,1.0339896342105188,0.8905136598018204,1.158154839764552
9,"80% Observed, 50 Collars",Bayesian Random,1.02,0.9753749999999999,1.07
9,"80% Observed, 50 Collars",Bayesian Fixed,1.03,0.9252750000000001,1.1252499999999999
9,"80% Observed, 50 Collars",Frequentist Retro,1.0213834348905437,0.9149294949061308,1.1171412326980132
10,"5% Observed, 5 Collars",Bayesian Random,1.03,0.9121250000000001,1.17
10,"5% Observed, 5 Collars",Bayesian Fixed,1.0950000000000002,0.6791,1.31
10,"5% Observed, 5 Collars",Frequentist Retro,1.0750451426507763,0.5699105295682313,1.3135271698829047
10,"10% Observed, 10 Collars",Bayesian Random,1.01,0.9398,1.09525
10,"10% Observed, 10 Collars",Bayesian Fixed,1.06,0.80555,1.21
10,"10% Observed, 10 Collars",Frequentist Retro,1.0198303556983381,0.7702862677572104,1.2188066308190488
10,"20% Observed, 20 Collars",Bayesian Random,1.01,0.948475,1.09
10,"20% Observed, 20 Collars",Bayesian Fixed,1.08,0.8607,1.21
10,"20% Observed, 20 Collars",Frequentist Retro,1.0550996483001174,0.8303196519233151,1.2158428750077603
10,"40% Observed, 30 Collars",Bayesian Random,1.005,0.9529,1.05525
10,"40% Observed, 30 Collars",Bayesian Fixed,1.04,0.896275,1.17525
10,"40% Observed, 30 Collars",Frequentist Retro,1.024824126922029,0.886440324570396,1.1734484789176332
10,"80% Observed, 50 Collars",Bayesian Random,1,0.960475,1.05
10,"80% Observed, 50 Collars",Bayesian Fixed,1.03,0.924475,1.12
10,"80% Observed, 50 Collars",Frequentist Retro,1.0206449168994745,0.9179754092381511,1.11069493006993
11,"5% Observed, 5 Collars",Bayesian Random,1.03,0.8805000000000001,1.1804999999999999
11,"5% Observed, 5 Collars",Bayesian Fixed,1.065,0.66785,1.3362499999999997
11,"5% Observed, 5 Collars",Frequentist Retro,0.9888766654443222,0.5764816569930336,1.33698660427693
11,"10% Observed, 10 Collars",Bayesian Random,1.02,0.888725,1.13
11,"10% Observed, 10 Collars",Bayesian Fixed,1.0550000000000002,0.680975,1.25
11,"10% Observed, 10 Collars",Frequentist Retro,1.0114118567956165,0.6266727131177406,1.2586933447396351
11,"20% Observed, 20 Collars",Bayesian Random,1.01,0.940425,1.08
11,"20% Observed, 20 Collars",Bayesian Fixed,1.01,0.84095,1.18525
11,"20% Observed, 20 Collars",Frequentist Retro,0.9918373737992634,0.816711938947096,1.1814991865430378
11,"40% Observed, 30 Collars",Bayesian Random,1.01,0.956475,1.08
11,"40% Observed, 30 Collars",Bayesian Fixed,1.025,0.8110250000000001,1.15
11,"40% Observed, 30 Collars",Frequentist Retro,1.0094820433803484,0.8164639526776765,1.1438070035307217
11,"80% Observed, 50 Collars",Bayesian Random,1.01,0.96885,1.06
11,"80% Observed, 50 Collars",Bayesian Fixed,1.01,0.934275,1.1304999999999998
11,"80% Observed, 50 Collars",Frequentist Retro,1.000595947556615,0.9197079682937006,1.1207807098679918
12,"5% Observed, 5 Collars",Bayesian Random,1.07,0.944375,1.2257499999999997
12,"5% Observed, 5 Collars",Bayesian Fixed,1.14,0.7131749999999999,1.4357499999999996
12,"5% Observed, 5 Collars",Frequentist Retro,1.092896174863388,0.6612812049818559,1.428069210075813
12,"10% Observed, 10 Collars",Bayesian Random,1.04,0.9558,1.17525
12,"10% Observed, 10 Collars",Bayesian Fixed,1.1,0.8266499999999999,1.29575
12,"10% Observed, 10 Collars",Frequentist Retro,1.0645380627248775,0.7421865424684396,1.2847410140317064
12,"20% Observed, 20 Collars",Bayesian Random,1.06,0.9820749999999999,1.1352499999999999
12,"20% Observed, 20 Collars",Bayesian Fixed,1.1,0.93095,1.2552499999999998
12,"20% Observed, 20 Collars",Frequentist Retro,1.0769340392114057,0.8994031950070935,1.2567255532354469
12,"40% Observed, 30 Collars",Bayesian Random,1.06,0.9959,1.12
12,"40% Observed, 30 Collars",Bayesian Fixed,1.09,0.9232750000000001,1.2
12,"40% Observed, 30 Collars",Frequentist Retro,1.075475599669148,0.9129543601375794,1.1940167496639376
12,"80% Observed, 50 Collars",Bayesian Random,1.06,1.01,1.1252499999999999
12,"80% Observed, 50 Collars",Bayesian Fixed,1.09,0.9777499999999999,1.20525
12,"80% Observed, 50 Collars",Frequentist Retro,1.0784313725490196,0.9633674562552077,1.1981022743734608
13,"5% Observed, 5 Collars",Bayesian Random,1.06,0.953425,1.21525
13,"5% Observed, 5 Collars",Bayesian Fixed,1.105,0.817275,1.36
13,"5% Observed, 5 Collars",Frequentist Retro,1.0575132014412376,0.7289558188461964,1.366120218579235
13,"10% Observed, 10 Collars",Bayesian Random,1.0550000000000002,0.930275,1.16
